질환명,증상,관련질환,진료과목,코드
18번 염색체 단완결실 증후군,"눈 사이가 멀어보임, 얼굴형태의 이상, 사시, 눈꺼풀 처짐증, 정신 지체","4번 염색체 단완결실 증후군, 윌리암스 증후군, 터너 증후군, 스미스-마제니스 증후군, 프라더 윌리 증후군, 묘성 증후군, 18번 염색체 장완결실 증후군, 엔젤만 증후군, 22번 염색체 장완 미세결실 증후군",의학유전학과,32329
18번 염색체 장완결실 증후군 ,"정신 지체, 근긴장의 이상, 얼굴형태의 이상, 음낭에 없는 고환 또는 부고환","18번 염색체 장완결실 증후군, 엔젤만 증후군, 22번 염색체 장완 미세결실 증후군, 묘성 증후군, 프라더 윌리 증후군, 스미스-마제니스 증후군, 윌리암스 증후군, 4번 염색체 단완결실 증후군",의학유전학과,32330
22번 염색체 장완 미세결실 증후군,"청력장애, 척추 측만, 잦은 상기도 감염, 음낭에 없는 고환,부고환, 얼굴형태의 이상, 눈 사이가 멀어보임, 행동장애, 입술 및 입천장의 기형, 잦은 감염","묘성 증후군, 엔젤만 증후군, 18번 염색체 장완결실 증후군, 4번 염색체 단완결실 증후군, 팔로 사 징후, 18번 염색체 단완결실 증후군, 윌리암스 증후군, 스미스-마제니스 증후군, 프라더 윌리 증후군","의학유전학센터, 의학유전학과",32342
4번 염색체 단완결실 증후군,"얼굴모양변화, 귀 모양의 변형, 요도가 아랫쪽에 위치, 사시","22번 염색체 장완 미세결실 증후군, 18번 염색체 장완결실 증후군, 18번 염색체 단완결실 증후군","의학유전학센터, 의학유전학과",32426
ARC 증후군,"관절 구축, 근긴장의 이상, 색소 침착, 황달","다발성 흑자 증후군, 홀트-오람 증후군, 연골외배엽 이형성증, 엘러스-단로스 증후군, 누난 증후군, 트리처 콜린스 증후군, 루빈스타인 테이비 증후군, 러셀 실버 증후군, 바르덴부르크 증후군, 대뇌성 거인증, 코넬리아드랑게 증후군, 베크위트-위드만 증후군, 판코니범혈구감소증, 골덴하 증후군, 클리펠-트라우네이-베버 증후군, 마르판 증후군","의학유전학센터, 의학유전학과",32336
Haw River 증후군,"뇌전증 발작, 운동장애, 정신 지체","척수구근 근위축증, 척수소뇌성 운동실조증, 헌팅톤 병, 유약 X 증후군, 프리이드라이히 운동실조증, 근긴장성 이영양증","의학유전학센터, 의학유전학과",32351
RS바이러스 감염증,"청색증, 코막힘, 열, 콧물, 빈호흡, 기침, 가래","상기도 감염, 폐렴, 급성 기관지염",감염내과,31610
Rh 부적합 임신,"호흡곤란, 간부전, 간비대, 복수, 빈혈, 비장비대, 폐출혈, 심부전, 황달","용혈빈혈, 뇌성 마비, 유산, 자궁 외 임신, 핵황달, 신생아 황달, 신생아 경련, 신생아 가사, 난산",산부인과,33769
VDT 증후군,"두통, 어깨의 통증, 어깨 움직임의 제한, 저림, 손의 통증, 눈의 피로, 굽은 등, 피로감, 눈의 충혈","거북목 증후군, 만성 피로 증후군",정형외과,32566
XXX 증후군,"귀 모양의 변형, 불임","클라인펠터 증후군, XYY 증후군, 터너 증후군","의학유전학센터, 의학유전학과",32427
XYY 증후군,"탈장, 손가락의 변형","클라인펠터 증후군, XXX 증후군, 터너 증후군","의학유전학센터, 의학유전학과",32428
가성근시,시력 감소,근시,"안과, 소아안과",32242
가스 괴저,"환부 통증, 환부의 분비물, 마찰음, 열감, 환부 부종","파종혈관내응고, 급성 신부전","감염내과, 응급의학과, 정형외과",32300
가습기 살균제 연관 폐질환,"다발성 장기부전 증상, 기침, 호흡곤란, 폐동맥 고혈압, 심부전","폐성 고혈압, 폐렴, 특발성 폐섬유화증, 미만성 간질성 폐질환",호흡기내과,32152
가와사키병,"점막변화, 설사, 발진, 경부 림프절병증, 열, 복부 통증, 기침","심근염, 부정맥, 심낭 삼출, 심장 판막 질환",어린이병원,32163
가진통,"불규칙적 진통, 비정상적인 진통","조기 진통, 조산, 만기 정상 분만",산부인과,31838
각기병,"근력 약화, 권태감, 무감각, 체중감소, 식욕부진","알코올 의존성, 구루병",신경과,31897
각막 궤양,"눈의 충혈, 눈부심, 눈의 통증, 눈물흘림","대상포진, 각막염, 헤르페스 바이러스 감염, 각막 혼탁과 흉터","안과, 소아안과",32224
각막 부종,"근시, 시야장애","각막염, 각막 혼탁과 흉터",안과,33552
각막 혼탁과 흉터,"시력 감소, 환부의 분비물, 눈의 통증, 눈의 피로, 눈부심, 안구혼탁","원추각막, 진균성 각막 궤양, 각막 궤양",안과,31294
각막염,"시력 감소, 눈의 통증, 눈물흘림, 안구혼탁, 눈부심, 눈의 충혈","헤르페스 바이러스 감염, 진균성 각막 궤양, 각막 혼탁과 흉터, 각막 궤양",안과,31292
간 전이,"식욕부진, 황달, 체중감소, 복부 통증","폐암, 췌장암, 유방암, 식도암, 대장암, 위암, 악성 흑색종","종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과",30475
간 혈관종,"포만감, 복부 불편감, 오심",간의 양성 신생물,"소화기내과, 성형외과",32101
간경화,"피부 긴장도 저하, 황달, 오심, 복수, 복부 불편감, 식욕부진, 피로감, 체중감소","원발성 담즙성 경화증, 간세포암, 간성 뇌증, 간염, 만성 C형 간염, 만성 B형 간염, 자가면역성 간염","소화기내과, 간이식ㆍ간담도외과",30480
간내 담석,"악취가 나는 설사, 복부 통증, 소화불량, 황달, 열","담관암, 간세포암, 담석","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",30483
간농양,"복부 통증, 구토, 오심, 기운없음, 오한, 열, 설사, 압통, 간비대, 황달",아메바성 간농양,"감염내과, 소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",31708
간디스토마,"설사, 간비대, 소화불량, 담도감염, 황달, 복부 통증",간농양,소화기내과,32104
간문부 담관암,"회색변, 빈혈, 진한 소변색, 피부소양감, 황달, 체중감소, 열, 식욕부진","총담관 담석, 간디스토마, 경화성 담관염, 궤양성 대장염, 총담관 낭, 담석","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과",30476
간성 뇌증,"자세 불안정, 불면증, 혼돈, 혼수, 인지장애, 감정 변화","복막염, 간경화, 식도 정맥류, 알코올성 간질환, 간염",소화기내과,32092
간세포암,"덩어리가 만져짐, 체중감소, 복부 통증, 황달","간농양, 간 전이, 간염, 만성 B형 간염","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과",30463
간신 증후군,"황달, 피부소양감, 전신 부종, 혼돈, 진한 소변색, 소변량 감소","신증후군, 간경화",소화기내과,32102
간염,"관절통, 황달, 기운없음, 열, 오심, 간성뇌증, 피로감, 근육통, 식욕부진, 진한 소변색, 복부 불편감, 구토, 복수, 간부전, 두통, 피부소양감","간성 뇌증, 복수, 독성 간염, 지방간, 만성 C형 간염, 만성 B형 간염, 자가면역성 간염, 급성 바이러스성 간염, 급성 B형 간염, 간경화, 전격성 간염, 급성 C형 간염, 급성 A형 간염",소화기내과,31687
간의 양성 신생물,"복부 압박 증상, 구토, 오심, 복부 통증, 복부팽만감","간농양, 간 혈관종","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",31041
간이식 후 상태,복부 통증,"선천성 담관 폐쇄증, 신생아 답즙정체증, 간세포암, 간경화, 윌슨병","소화기내과, 간이식ㆍ간담도외과",31390
간질성 방광염,"빈뇨, 방광 팽만, 복부 통증, 긴박뇨, 야간뇨","급성 방광염, 골반 염증성 질환",비뇨의학과,33398
간찰성 홍반,"소양감, 발적, 딱지, 물집, 발진","지루성 피부염, 기저귀 피부염, 접촉 피부염, 땀띠",피부과,32518
갈색세포종,"가슴 두근거림, 어지러움, 발한, 고혈압",고혈압,내분비내과,32256
감각신경성 난청,"청력장애, 어지러움, 이명","노인성 난청, 메니에르병, 이명, 난청",이비인후과,31969
감돈포경,"귀두가 울혈됨, 생식기 통증, 배뇨곤란","귀두포피염, 포경",비뇨의학과,32201
감염성 근육염,"발진, 환부 부종, 압통, 열감, 피부염증",피부근육염,감염내과,31618
감염성 단핵구증,"압통, 발진, 삼키기 곤란, 열감, 목의 통증, 열, 기운없음, 오한","성병, 후천성 면역결핍증, 면역결핍증, 경부 림프절염","감염내과, 혈액내과",32450
감염성 홍반,"두통, 식욕부진, 안면홍조, 열, 권태감",감염성 홍반,감염내과,31604
