음낭 부종: 음낭 팽창, 음낭 종양, 고환 부어있음, 고환 종양, 고환 부종
근긴장의 이상: 근육 긴장 문제, 근육 긴장 이상, 근육 긴장 이상상태, 근육 긴장 이상증, 근육 긴장 이상증후군
반복적인 동작: 반복 행동, 반복 운동, 반복 동작 패턴, 반복적 행위, 반복적 행동 양식
고환 불쾌감: 고환 통증, 고환 불편감, 고환 불쾌함, 고환 불쾌한 감각, 고환 불편
환청: 귀 소리, 귀울림, 이명, 귀 띠, 귀 소음
코플릭 반점: 눈 가루, 눈 물, 안구 반점, 눈물 반점, 눈 코웨트
멍: 멍청이, 뇌 짓물, 뇌 충격, 뇌 멍, 뇌 혈종
생식기 출혈: 생리 혈, 생리 출혈, 생리 혈액, 생리 혈류, 생리 피
성생활이 힘듦: 성적 무기력, 성욕 감퇴, 성욕 저하, 성욕 부진, 성욕 약화
유방의 과다 성장: 유방 비대증, 유방 비정상 성장, 유방 비정상 발육, 유방 비정상 크기, 유방 비정상 확장
늑막삼출: 뇌수액 샘출, 뇌수액 유출, 뇌수액 분비, 뇌수액 배출, 뇌수액 방출
심실세동: 심장 비정상 리듬, 심장 불규칙 진동, 심장 이상 동작, 심장 이상 발작, 심장 이상 세동
방향감각 상실: 방향감 잃음, 방향감 상실증, 방향감 소실, 방향 인지 상실, 방향감 감소
유루증: 배뇨불능, 방광 문제, 방광 기능 이상, 방광 제어 문제, 방광 기능 저하
요독증: 중독 증상, 중독 반응, 중독 증후군, 중독 증세, 중독 현상
눈부심: 눈이 아픔, 눈이 따가움, 눈이 쑤시고, 눈이 아림, 눈이 환히
지방변: 지방 감소, 지방 감소 현상, 지방 감소증, 지방 축소, 지방 변화
영양 불량: 영양 부족, 영양 실조, 영양 결핍, 영양 공급 부족, 영양 섭취 부족
전신 통증: 온몸 통증, 몸 전체 통증, 온몸이 아프고, 몸이 다 아픔, 온몸이 쑤시고
놀람반사의 약화: 깜짝 놀람 약화, 놀라움 반응 감퇴, 놀람 반사 저하, 깜짝 놀람 쇠약, 놀람 반응 약화
인내심이 부족함: 참을성 부족, 인내심 결핍, 참는 능력 부족, 인내심 부족 상태, 참는 능력 감소
눈의 피로: 눈 피로감, 눈 피로 상태, 눈 피로증후군, 시력 피로, 눈의 피로감 증상
유방 크기의 감소: 유방 소실, 유방 축소, 유방 크기 감소, 유방 줄어듦, 유방 크기 감소증
분출성 구토: 구토 발작, 구토 증상, 구토 발작성, 구토 발생, 구토 증세
말초부종: 말초 조직 부종, 근골격 부종, 말초 부종증상, 말초 조직 부종, 근육 부종
복부경련: 복부 근육 경련, 복부 근육 수축, 복부 근육 증세, 복부 경련 발작, 복부 근육 긴장
